Body,aspect_terms
"This app looks awesome.  Very well thought out design and it appears that most of the functions are right at my fingertips.  Not so.  I have used it mostly for categorizing expenses.  I was trying to run a report, but nothing really made sense.  I went first to google to look for some tutorial videos, but it appears that most of the videos available online are only advertisements.  That is when I went to the help and support section in app.  In the section there is a FAQs area.  Perfect!  When I read the only article in this section I thought it must be some kind of joke.  It was an article on how to get to the FAQs section on the app.  It is like some perverted Groundhog Day scene, or like when you are reviewing a resume for a potential new hire and one of the sections is the filler text from the template they created the resume from.  I expect more from this company.  Fix this or simply remove it.","App, Expenses, Quality, Customer Service"
This update is terrible basically unusable please change it back ASAP,
"The majority of the time this app is wonderful. On a regular basis it will completely close out and I will lose the transaction I’m in the middle of. 
I’ve continually notified Intuit about this since the problem started in April of 2019. The consistent response is that they close out the ticket same day and never respond or research the issue. 
Today I’m told that they no longer have a department to help customers with the app. 
Now I’ve just recently renewed my annual subscription so I’m out that money because this product is unreliable.","App, Quality"
One my favorite apps to use while working. I’m on it like a social media page. Thanks quick books.,Quality
This absolutely works perfectly without difficulty.,
Just deleted. Crashed. Didn’t update banking. Five star to one in a flash.,Quality
Transferring company file from online QuickBooks to TurboTax is only was possible by transferring the company file to desktop QuickBooks and from there to TurboTax. To do this transition you will need an old computer with windows 7 and IE11 32 Bit. Totally ridiculous and Intuit looks does not care about this issue and left their customers alone with the issue. It’s a shame.,Quality
I have a Handyman business and this app made the paperwork side of the business easy!! I definitely recommend,App
"Very easy to use BUT multi currency is a pain. I’m based in US but invoice in UK, Mexico and Spain and with QuickBooks you have to be 100% one currency so it’s a pain for my customers and makes me look second rate as a “in global” business","Invoicing, Customer"
I was hesitant to change the way I was doing things and use quickbooks when we switched to it a few years back. It has literally transformed how we do things in such a positive manner! I look back to how I used to do it and regret not making the switch sooner.,
"It’s a good app but you should be able to mark invoices as paid and deposited via the app. 

My paid invoices are regularly, incorrectly shown as unpaid. I have to wait until I have time to go on my laptop and mark them as paid via the website","App, Invoicing"
"After installing the app, and attempting to access it results in crashing.",App
As a small business this is unbelievably good value,
"We have been using QuickBooks online for six years now And it is an absolute staple in our business. For a company to thrive and grow having good Systems and processes is crucial.  QuickBooks meets a multitude of our business needs on A daily basis. 

W.Bratrud, VP
HB Electric Inc.",Experience
Dashboard and home button do nothing now. iPhone 11 Pro Max. Blank screen.,Dashboard
"See above. 

In the office, on the site. Wherever. 

I have used a broad range of applications over the last 20 years in business and Quickbooks is the simplest, functional piece of software for our consultancy business I have found.

Happy to recommend it to other small business owners who want to spend time in their profession and and not on the books.","App, Quality"
"It's a vast improvement on another app I tried but the most basic pack makes me want more, upgrading now if I can so recommend you start with a higher grade package rather than the cheapest.",Quality
This app has so many problems. It will freeze up and the only way to fix it is to delete he app and download it again. I wii ok old not recommend.,"App, Quality"
"New update has made navigating to the chart of accounts very annoying.  You have to access one of 3 accounts (determined by QBs) that show up on the main page and then push the back button, magically the accounts list appears.  Poor design, but a simple fix.  I don’t mind that the menu button has moved to the bottom, just please add a “Chart of Accounts” link.  Thanks.",Quality
"DO NOT UPDATE! They really need to go back to the previous version of this app. Every time they make an update it seems to be useless tweaks in navigation, font size and anything else that adds no value or functionality. They really need to just work on bugs and leave the layout alone. 

With the latest update, they literally removed Every feature I used to use- dashboard widgets, P&L, balance sheet, bank account updating-all gone. It’s now absolutely useless.","App, Experience, Quality, Dashboard"
app stinks,App
"Don’t waist your time. Trust my word. 

Update. I’m paying for 3 of the same app now and still can’t get any help.","Quality, App"
"It works and some parts work very well.  But key basic functions like receipt matching do not work in the app.

Worse, I’ve found that there are situations where the app reports very different results than the online system.  It nearly resulted in us issuing incorrect 1099s because some sub contractor payments (such as those made in response to an invoice) disappeared completely from the app reports but are visible in the online version. Be VERY careful when using the app for any material reporting.

UPDATE:  Caitlyn, thanks but the hot links don’t work.  I’ve searched for those articles on our community site and found nothing.  I searched the topics and also found nothing helpful except clear statements that the app is synced with the site.  I sent in a ticket through normal channels two days ago and have heard nothing back.","App, Quality, Estimates"
"It keep saying you already own this app so it will download, but nothing happens",App
This is far more cumbersome than Quicken was. The help desk has not been much help either. Wouldn’t you think as a business software it could put together a loan to a 3rd party with each payment allocated to the interest and principal due each month. Quicken can !!,"App, Help"
App doesn’t open on the new iPhone PRo,App
"It works and some parts work very well.  But key basic functions like receipt matching do not work in the app.

Worse, I’ve found that there are situations where the app reports very different results than the online system.  It nearly resulted in us issuing incorrect 1099s because some sub contractor payments (such as those made in response to an invoice) disappeared completely from the app reports but are visible in the online version. Be VERY careful when using the app for any material reporting.","App, Quality, Estimates"
"I have never used Quickbooks before. As a business owner, when a client pays me, I fully expect my funds to be in my account. I made the grave mistake of having a client pay me through Quickbooks and now my funds are held hostage. I’ll go back to having paper checks that come through in 24hrs not ACH payments that Quickbooks holds for FIVE DAYS!!!! Absolutely worthless!",
Is very good!! And very easy!,
The only reason I upgraded to QuickBooks on line was so that I could do estimates and invoicing on site.  This app will allow me to do an estimate but will not let me do a partial invoice.  If I can’t do a partial invoice on the app it’s simply a waste of time for my small fencing business.,"Estimates, Invoicing"
"Terrible, terrible support. Continual promises of call backs from customer support agents on live chat never happen because the bugs you find are too hard. Open tickets for bugs never get resolved. You ask for a supervisor or manager and you have to email the person you’re complaining about?! Get told that because of system bugs you have to manually delete the key back in multiple entries. You’ll be left at year end with books that don’t balance like me. AVOID!","Customer Service, Quality"
"A lot of navigation buttons use white text on a light grey background, making them almost impossible to see. This makes navigation through the app very difficult.","Accountant, Quality"
I decided to move forward with Quick books because of a friend recommending it to me. This has been one of the worst experiences ever. The customer service is terrible and the fact that quick books owes me money is even worst. I highly recommend that no one uses this service.,Customer Service
Now I just tried to use the app on an IPad And I cant even generate a journal entry...   Grrrrrrrrrrrr!,App
Worked great until about 1 week ago. Now I can’t see income and expense charts. Also can’t view and accept transactions. I’m using an iPhone 7.,"App, Transactions"
So far QuickBooks support has not been able to get the mileage tracking feature to work on my phone.  IPhone6. Won’t manually of automatically track mileage and WB support has not resolved or explained why.  Partial functionality is not good enough!,Customer Service
Useless. Confusing and incomprehensible.,Quality
Thanks,
Bought this app and was unable to get it to work with an IPad. 4 hours on the phone with this company and still no success. They charged me and told me to get my money back through Apple. There is an open known problem being worked on their end but user’s beware. You won’t find out until you’ve paid.,App
"I completely understand the business standpoint of this app. However there are regular people that would like to keep track of their receipts so that they can prepare their taxes much easier. 

When I was first introduced to this app via ad, it seemed as if it was a personal receipts app that allowed you to take a photo and save them. Not ONCE did the AD state it was intended for businesses. (The ad was on Instagram too. If I could go back and record it I would.) 

All in all the app is great for businesses but there should be a normal person standpoint. Meaning allowing people to track their receipts and then present them when taxes require so.",App
I can’t even see my accounts anymore? Where did the accounts tab go??!,
"App has issues which never get fixed. Always receive a bug upon opening, can’t connect to bank account until refreshed, deleted invoices won’t delete, I no longer receive notifications when customers make payments. Tried reinstalling, nothing works. How do I get this corrected?","App, Quality, Invoicing"
It’s incredibly ridiculous that you can’t upload receipts from anywhere but your photos app. What if you get emailed an invoice? Nope can’t upload it!,"Receipt Capture, Invoicing"
Need to pay after 30 days,
"1st let me say, I love the app even though the updates caught me by surprise. 

Now that I got that out of the way..

I have over $3200 in expenses so far this month. However when I open the app on my phone it says I only have $271 worth of expenses. 
I quickly grabbed my computer to double check and all the expenses displayed correctly. 

If I open the P&L in the noble app, the expenses display there correctly as well. The issue just seems to be with the stand-alone expense widget with the chart. 

Please fix that.  An option to remove it might be nice as well.","Quality, Expenses, App"
Worst company and app to deal with. Had to click 1 star they are negative 5 stars,
I was having trouble with the mileage tracker and now with the update I can’t even check the settings.  Please fix this.  I am paying for this service to help run my business.  This isn’t a free game app.,"Updates, App"
Befoe you used to record bank feed but no more! This update ruined the quickbooks app,Updates
"I have a mobile veterinary service and use this for all of my billing while I'm on the road. It saves me time by allowing me to bill my clients on site at the time of service, and even process the credit card if they choose to pay that way. The only downside is that the cost per month Lewis going up.",
"Update 
Quickbooks refuses to recognize they have a problem with data being displayed incorrectly on the iPad app. It simply doesn’t show all of the current expenses like the online version does. I deleted the app and reinstalled same problem, so please quickbooks support listen to us and fix the problem.

I’ve been quickbooks user for a long time and discovered this app gives a totally different set of numbers than quickbooks online does. Expenses are different than real version so please beware, you can’t trust the numbers. Contacted support to no avail. I guess they don’t read the other reviews either.
Received a response from developer tried all their suggestions results the same. My mobile app doesn’t display an accurate picture of expenses. Many others have noted the same thing. The solution isn’t to delete and reinstall the app. That’s not a solution that’s a work around.","Quality, App, Customer Service"
"I have emailed for help, chatted with online help and nothing is solved.  The last response I got from the chat support was “Oh.”  There is something wrong with the app not my phone. I can’t even save mileage manually, I get an error that says “try back later” I am paying $40/month, this needs to work.","Customer Service, Quality"
"I have been using QB for two years now and I am very satisfied with what the program can do for me. 
I like the flexibility of being able to use it on my Tablet, Computer or my mobile phone.",App
"They bait you by saying its 50% off if you do it Now!
Above that statement they have a price of $24.99.
You are then forced to add all your info to get any farther.
Then they say you get 50% Off for 3 months at $12.99 and then it goes to $24.99 a month from then on.

Totally misleading on purpose. I refuse to use because of their tactics.",
The app isn’t syncing with online account data. Was hoping to use the app for quick entry while on the go.,App
"I have used everything but Quick books because of the price point mostly but because of a coupon code I received I decided to give it a shot and I don’t know why I didn’t start here in the first place. Thank you guys so much, it has made my life so much easier!",App
