Version,Rating,Date,Aspects,Body
19.12.0.12,1,1/31/20,"Customers Service, Quality",Not intuitive. Bad customer satisfaction services.
20.0.1,1,1/31/20,"Customers Service, Price","I just want to upload an image as an attachment to an invoice. I also want the app to read the invoice and track mileage. Ohh, that's only on the cheaper self employed version that is severely stunted. In the 3 years I've been using qb, it's almost doubled in price and almost nothing has improved. Finally, when I request phone help from the phone app, why do I get a rep who knows nothing about the phone app? Where the request comes from isn't logged on the system so the right person can call!"
20.0.1,5,1/31/20,General,Wow this is a fantastic program I am a new small business owner. I have learned aso much just by using this app!
19.12.0.12,4,1/31/20,Dashboard,Good apart from the top of the dashboard on the home page being greyed out.
19.12.0.12,5,1/31/20,General,Very good
20.0.1,5,1/31/20,General,Easy to use and my Accountant recommended it highly.
19.12.0.11,5,1/30/20,General,Slick app designed to make your business life better.
,1,1/30/20,"Banking, Customer Service","Very disappointed, missing 6 months of transactions from my bank, tried to fix it as I was instructed to but couldn't, you can't get someone to speak to, no customer service. Big joke, I don't recommend it to anyone"
20.0.1,5,1/30/20,General,Good app at new start...
19.12.0.12,5,1/30/20,General,Great
20.0.1,2,1/30/20,"Account, Quality","Doesn't work. After logged in, I can seem to review my accounts. This would be a great app if they could fix this issue."
,1,1/30/20,Quality,Unless you are truly tech savvy avoid this app since finding help was as bad as getting help from FB or Instagram in my opinion.
19.12.0.12,5,1/30/20,"General, Experience",Kinda tricky at first but easily learned
19.12.0.12,1,1/30/20,"Quality, Customers Service",Switch to Xero even though its more expensive. Better off wasting money on a useless app. Cant even save a transaction. Lousy support and engineering team to not resolve such a essential feauture after 1 month. Subscribe at your own risk.
20.0.1,2,1/29/20,Quality,"Love QB, but this app is really glitchy. Asks for password, loops me back, won't let me activate fingerprint. I'm signed in using Google, when I click on my Google account it asks for my password, when I enter password, it puts me in a loop. The only fix is uninstalling and then reinstalling the app. Which I have to do daily. It's incredibly frustrating."
19.12.0.12,5,1/29/20,General,Great
20.0.1,2,1/29/20,"General, Mileage, Quality",Great App but have had issues with mileage tracking freezing up while I am categorizing. It then kicks me out.
